Topic,Count,Name,Representation,Representative_Docs
123,80,123_tornado_tornadoes_outbreak_damage,"['tornado', 'tornadoes', 'outbreak', 'damage', 'killed', 'struck', 'fatalities', 'confirmed', 'day', 'people']","['Another tornado touched down in Minnesota.', 'The August 2008 European tornado outbreak was a widespread severe weather event which spawned thirteen tornadoes in four countries, one of which killed three people in France.', 'A widespread tornado outbreak produced at least 36 tornadoes across the Great Plains and Midwest.']"
124,78,124_symptoms_skin_include_blood,"['symptoms', 'skin', 'include', 'blood', 'effects', 'condition', 'common', 'fever', 'heart', 'cause']","['Other major symptoms are bilateral pitting edema of extremities, headache, nausea, loose bowels, erythema, glaucoma and breathlessness.', 'Other symptoms may include bone pain, chest pain, or itchiness.', 'Effects include skin rashes, psychological effects, and allergic symptoms.']"
125,77,125_currents_circulation_ocean_thermohaline,"['currents', 'circulation', 'ocean', 'thermohaline', 'stream', 'north', 'surface', 'driven', 'equatorial', 'warm']","['Surface currents are found on the surface of an ocean, and are driven by large scale wind currents.', 'Ocean currents are also important factors in determining climate, particularly the thermohaline circulation that distributes thermal energy from the equatorial oceans to the polar regions.', 'The thermohaline circulation is a part of the large-scale ocean circulation that is driven by global density gradients created by surface heat and freshwater fluxes.']"
126,76,126_chart_charts_peaked_weekly,"['chart', 'charts', 'peaked', 'weekly', 'copies', 'weeks', 'album', 'reached', 'selling', 'single']","['The single reached # 7 on the Oricon weekly chart and charted for ten weeks, selling 25,531 copies.', 'The album peaked at # 30 on the Oricon Albums Chart and remained on the chart for 3 weeks.', 'O.R.I.O.N topped both Recochoku and iTunes weekly single charts in its first week of release, and ranked #2 in Oricon weekly single chart, selling 190,261 physical copies.']"
127,75,127_panel_change_climate_assessment,"['panel', 'change', 'climate', 'assessment', 'scientific', 'report', 'consensus', 'impacts', 'reports', 'understanding']","['These were presented in the International Panel on Climate Change Fifth Assessment report.', '""The work of the Intergovernmental Panel on Climate Change (IPCC) represents the consensus of the international scientific community on climate change science.', 'New York City Panel on Climate Change, an advisory panel to the New York City Mayor on climate change modeled on the Intergovernmental Panel on Climate Change (IPCC)']"
128,74,128_precipitation_convective_rain_clouds,"['precipitation', 'convective', 'rain', 'clouds', 'drops', 'droplets', 'upward', 'air', 'falls', 'warm']","['Most precipitation in the tropics appears to be convective; however, it has been suggested that stratiform precipitation also occurs.', 'Most precipitation in the tropics appears to be convective; however, it has been suggested that stratiform precipitation also occurs.', 'Convective rain, or showery precipitation, occurs from convective clouds, e.g., cumulonimbus or cumulus congestus.']"
129,73,129_emissions_aviation_1990_percent,"['emissions', 'aviation', '1990', 'percent', 'projected', 'passenger', 'annual', 'tons', '2007', 'tonnes']","['In the EU, greenhouse gas emissions from aviation increased by 87% between 1990 and 2006.', 'Total CO emissions from energy use were 5% below their 1990 level in 2007.', 'In the European Union, greenhouse gas emissions from aviation increased by 87 percent between 1990 and 2006.']"
130,73,130_snow_snowfall_winter_parts,"['snow', 'snowfall', 'winter', 'parts', 'fell', 'cm', 'heavy', 'northern', 'weather', 'brought']","['Snow later fell in the Midlands and South-east England.', 'A snowsquall (or snow squall) is a sudden moderately heavy snow fall with blowing snow and strong, gusty surface winds.', 'Snow showers also affected Wales and the south-west of England, whilst periods of heavy snow dumped a further 5–10\xa0cm of snow across the south-east corner.']"
131,72,131_children_birth_control_planning,"['children', 'birth', 'control', 'planning', 'methods', 'parents', 'care', 'family', 'mortality', 'women']","['Population planning that is intended to reduce population size or growth rate may promote or enforce one or more of the following practices, although there are other methods as well: Greater and better access to contraception Reducing infant mortality so that parents do not need to have many children to ensure at least some survive to adulthood.', 'He recommends that people should have no more than two children.', 'The movement sees children as a blessing from God and it promotes compulsory procreation, abstaining from all forms of birth control, (including natural family planning) and sterilization.']"
132,72,132_commitments_binding_targets_agreement,"['commitments', 'binding', 'targets', 'agreement', 'treaty', 'round', 'emissions', 'negotiations', 'agreed', 'countries']","['To become binding in the US, however, the treaty had to be ratified by the Senate, which had already passed the 1997 non-binding Byrd-Hagel Resolution, expressing disapproval of any international agreement that did not require developing countries to make emission reductions and ""would seriously harm the economy of the United States"".', 'In ratifying the Kyoto Protocol, most developed countries accepted legally binding commitments to limit their emissions.', 'The 37 Kyoto Protocol Parties, listed in Annex B of the treaty, have agreed to legally binding emission reduction commitments.']"
133,71,133_game_video_playing_series,"['game', 'video', 'playing', 'series', 'games', 'role', 'based', 'character', 'fictional', 'edition']","['It is the sequel game to Killer Bunnies and the Quest for the Magic Carrot.', 'Dragon Storm (game), a role-playing game and collectible card game', ""Azrael 's Tear is a first-person role-playing video game adventure game published by Mindscape and developed by Intelligent Games.""]"
134,68,134_length_cm_reach_maximum,"['length', 'cm', 'reach', 'maximum', 'centimeters', 'total', 'inches', 'long', 'mm', '55']","['Males can reach a maximum total length of 70 cm.', 'Males can reach a maximum total length of 30 cm.', 'Males can reach a maximum total length of 30 cm.']"
135,66,135_crime_criminal_justice_law,"['crime', 'criminal', 'justice', 'law', 'sexual', 'analysis', 'rate', 'violent', 'defense', 'argue']","[""However, the European research suggests that ``increased use of crime prevention measures may indeed be the common factor behind the near universal decrease in overall levels of crime in the Western world'', since decreases have been most pronounced in property crime and less so, if at all, in contact crimes."", 'The Crime Family has a history of criminal activity dating back to the late nineteenth century.', 'As a result, Miami sees a steep rise in crime.']"
136,66,136_camera_images_resolution_vision,"['camera', 'images', 'resolution', 'vision', 'view', 'image', 'video', 'digital', 'angle', 'visible']","['The front-facing camera has a resolution of 1.3 megapixels.', 'High Resolution Stereo Camera (HRSC) is a camera experiment on Mars Express.', 'A field camera is a view camera that can be folded in a compact size.']"
137,65,137_adaptation_change_climate_vulnerability,"['adaptation', 'change', 'climate', 'vulnerability', 'effects', 'developing', 'countries', 'impacts', 'adverse', 'economic']","[""A book by the Berliner Wissenschafts-Verlag on 'conflict-sensitive adaptation' sheds light on unintended damaging effects of climate adaptation measures."", 'The authors provide a ""Memorandum for Action on Adaptation for Peace and Stability"" that outlines principles to support processes for adaptation and peace such as the establishment of peace and conflict assessments for adaptation programmes, mainstreaming climate change adaptation in conflict-prone contexts, applying conflict sensitive approaches or provisions to ensure participatory processes to design and implement adaptation measures.', 'Adaptation is especially important in developing countries since those countries are bearing the brunt of the effects of global warming.']"
138,63,138_border_valley_river_relations,"['border', 'valley', 'river', 'relations', 'area', 'counties', 'metropolitan', 'league', 'region', 'west']","['Mission Valley is an area of El Paso, Texas, United States, which includes part of Eastside and all Lower Valley districts.', 'Concho Valley is a region in West Texas.', 'Presidio County (K-5 in Texas topological index of counties) is in the Trans-Pecos region of West Texas and is named for the ancient border settlement of Presidio del Norte.']"
139,61,139_death_father_war_purchased,"['death', 'father', 'war', 'purchased', 'house', 'succession', 'family', 'served', '15th', 'farm']","[""In Europe, the Black Death claimed between 75 and 200 million lives, while England and France fought in the protracted Hundred Years ' War after the death of Charles IV, King of France led to a claim to the French throne by Edward III, King of England."", ""It reverted to the Crown on Fitzwilliam 's death and was granted in 1545 to Thomas Seymour, brother to Edward Seymour, 1st Duke of Somerset, Protector (of the infant King Edward VI, son of King Henry VIII)."", 'He served as regent after the death of King Henry III of England while Edward was still on crusade.']"
140,60,140_journal_factor_reports_impact,"['journal', 'factor', 'reports', 'impact', 'according', 'journals', 'ranking', 'category', '2014', '2015']","['According to the Journal Citation Reports, the journal has a 2014 impact factor of 1.562.', 'According to the Journal Citation Reports, the journal has a 2014 impact factor of 2.076.', 'According to the Journal Citation Reports, the journal has a 2014 impact factor of 2.761.']"
141,60,141_closed_permanently_turned_company,"['closed', 'permanently', 'turned', 'company', '1968', 'opened', 'aviation', 'service', 'passengers', 'shut']","['As of June 8, 2015, the company has closed.', 'The station was closed due to budgetary cuts for part of 2003 and 2004, and then closed for renovations from 1 July 2006.', 'It closed in 2008, and has since been demolished.']"
142,58,142_risks_risk_safety_civilization,"['risks', 'risk', 'safety', 'civilization', 'catastrophic', 'inherent', 'destroying', 'future', 'health', 'hazards']","['This is further underlined by an understanding of the interconnectedness of global systemic risks.', 'A ""global catastrophic risk"" is any risk that is at least ""global"" in scope, and is not subjectively ""imperceptible"" in intensity.', 'Potential global catastrophic risks include anthropogenic risks, caused by humans (technology, governance, climate change), and non-anthropogenic or external risks.']"
143,57,143_efficiency_energy_efficient_improvements,"['efficiency', 'energy', 'efficient', 'improvements', 'consumption', 'opportunities', 'conservation', 'demand', 'improved', 'use']","['Efficient energy use, sometimes simply called ""energy efficiency"", is the goal of efforts to reduce the amount of energy required to provide products and services.', 'Energy conservation is broader than energy efficiency in that it encompasses using less energy to achieve a lesser energy demanding service, for example through behavioral change, as well as encompassing energy efficiency.', 'Improvements in energy efficiency are most often achieved by adopting an efficient technology or production process.']"
144,57,144_rise_sea_level_mm,"['rise', 'sea', 'level', 'mm', 'melting', 'levels', 'ft', 'ice', 'floating', 'cm']","[""The world's largest potential source of sea level rise is the East Antarctic Ice Sheet, which holds enough ice to raise global sea levels by 53.3\xa0m (175\xa0ft)."", '(roughly 1\xa0mm/y or less) is similar to the modeled imbalance in the Antarctic (roughly 1\xa0mm/y of sea-level rise; Huybrechts 1990), suggesting a contribution of sea-level rise from the Antarctic.', 'Some authors (Paterson 1993; Alley 1997) have suggested that the difference between the observed rate of sea-level rise (roughly 2\xa0mm/y) and the explained rate of sea-level rise from melting of mountain glaciers, thermal expansion of the ocean, etc.']"
145,56,145_1963_ranked_peninsula_list,"['1963', 'ranked', 'peninsula', 'list', '1957', 'independence', 'language', 'towns', 'country', 'achieved']","['Malaya later formed Malaysia with three other states in 1963.', 'The movement believes that the terms and conditions for the formation of Malaysia gave Sarawak, North Borneo, Malaya, and Singapore the status of equal partners in the newly formed Malaysia, in 1963.', 'Malaysian literature is the collection of literary works produced in the Malay peninsula until 1963 and in Malaysia thereafter.']"
146,55,146_heat_deaths_extreme_mortality,"['heat', 'deaths', 'extreme', 'mortality', 'weather', 'related', 'wave', '2003', 'events', 'persons']","[""One piece of their evidence is that in summer 2003, during Europe's big heat wave, there were 70,000 recorded deaths related to the heat."", 'Rising temperatures have two opposing direct effects on mortality: higher temperatures in winter reduce deaths from cold; higher temperatures in summer increase heat-related deaths.', 'In France, 14,802 heat-related deaths (mostly among the elderly) occurred during the heat wave, according to the French National Institute of Health.']"
147,54,147_brown_dark_spot_cell,"['brown', 'dark', 'spot', 'cell', 'margin', 'middle', 'base', 'black', 'scales', 'inner']","['Yellowish-brown sarcotesta, glabrous and/or glaucous.', 'The forewing underside is much more shaded with brown than the upperside.', 'The inflorescence is a panicle of brown to purplish spikelets.']"
148,54,148_longitude_altitude_latitude_located,"['longitude', 'altitude', 'latitude', 'located', 'metres', 'feet', '34', '32', '28', '73']","[""It is located at 32 ° 30 ' 0N 73 ° 25 ' 0E and has an altitude of 216 metres (711 feet)."", ""It is located at 34 ° 7 ' 15N 73 ° 5 ' 55E with an altitude of 958 metres (3146 feet)."", ""It is located at latitude 40 ° 28 ' 16 N : longitude 71 ° 43 ' 29 E. at an altitude of 487 meters.""]"
149,53,149_behavior_learning_perception_psychology,"['behavior', 'learning', 'perception', 'psychology', 'situations', 'mind', 'concepts', 'stimulus', 'thinking', 'mechanisms']","['Concretism (psychology), a form of thought and feeling that represents concrete concepts related to sensation as opposed to abstractions, see Attitude (psychology)', 'To understand behavior, behavior analysts use the same scientific methods that the physical sciences employ : precise definition of the behavior under study, experimentation, and consistent replication of the experimental findings.', 'Generalization is the concept that humans and animals use past learning in present situations of learning if the conditions in the situations are regarded as similar.']"
150,53,150_carbon_compounds_atoms_element,"['carbon', 'compounds', 'atoms', 'element', 'charcoal', 'forms', 'organic', 'contain', 'elements', 'metals']","['Carbon forms a vast number of compounds, more than any other element, with almost ten million compounds described to date, and yet that number is but a fraction of the number of theoretically possible compounds under standard conditions.', 'Carbon nanotubes (CNTs) are allotropes of carbon with a cylindrical nanostructure.', 'Carbon nanotubes (CNTs) are allotropes of carbon with a cylindrical nanostructure.']"
151,52,151_age_median_18_24,"['age', 'median', '18', '24', 'older', 'years', '44', '64', '45', '65']","['In the city, the population was spread out with 37.4% under the age of 18, 9.5% from 18 to 24, 28.5% from 25 to 44, 16.0% from 45 to 64, and 8.5% who were 65 years of age or older.', 'The median age was 25 years.', 'The median age was 24 years.']"
152,51,152_steam_turbine_heat_generator,"['steam', 'turbine', 'heat', 'generator', 'power', 'exhaust', 'engine', 'generators', 'used', 'cycle']","['The steam, in turn, drives a steam turbine or is used in industrial processes that require heat.', 'Most of the efficiency loss with steam power generation is associated with the latent heat of vaporization of steam that is not recovered when a turbine exhausts its low temperature and pressure steam to a condenser.', 'A heat recovery steam generator (HRSG) is a steam boiler that uses hot exhaust gases from the gas turbines or reciprocating engines in a CHP plant to heat up water and generate steam.']"
153,51,153_overpopulation_population_growth_resources,"['overpopulation', 'population', 'growth', 'resources', 'sustain', 'carrying', 'human', 'rapid', 'problems', 'capacity']","['The effects of overpopulation are compounded by overconsumption.', 'The effects of overpopulation are compounded by overconsumption.', 'Human overpopulation (or population overshoot) is when there are too many people for the environment to sustain (with food, drinkable water, breathable air, etc.).']"
154,50,154_biochar_soil_charcoal_biomass,"['biochar', 'soil', 'charcoal', 'biomass', 'soils', 'sequestration', 'carbon', 'reduce', 'solid', 'fertilizer']","['Like most charcoal, biochar is made from biomass via pyrolysis.', 'An alternative is to use small amounts of biochar in lower cost biochar-fertilizer complexes.', 'Biochar is charcoal used as a soil amendment.']"
